points:14150
item344
item330
item172
item591
item399
item432
item433
item506
item78
item207
item476
item18
item870
item882
item895
item107
item268
item12
item718
item230
item267
item189
item648
item229
item126
item332
item91
item76
item471
item692
item707
item49
item577
item565
item629
item411
item21
item487
item836
item925
item234
item517
item245
item26
item458
item217
item931
item318
item647
item297
item957
item111
item16
item600
item293
item825
item521
item595
item512
item850
item460
item449
item440
item183
item69
item905
item853
item747
item716
item497
item849
item319
item721
item681
item73
item933
item66
item220
item51
item81
item781
item687
item493
item496
item760
item845
item371
item20
item875
item920
item361
item794
item783
item119
item523
item169
item117
item321
item685
item518
item659
item922
item1000
item61
item478
item625
item145
item475
item592
item869
item811
item378
item306
item673
item913
item607
item585
item281
item43
item646
item890
item965
item578
item981
item796
item437
item165
item125
item551
item567
item937
item502
item416
item100
item527
item362
item826
item690
item71
item320
item513
item990
item951
item542
item323
item2
item339
item889
item636
item254
item550
item935
item380
item602
item211
item184
item815
item38
item821
item735
item767
item225
item347
item235
item863
item704
item583
item727
item105
item146
item143
item58
item358
item288
item450
item766
item115
item147
item786
item158
item702
item214
item425
item308
item944
item851
item724
item82
item620
item171
item574
item545
item709
item324
item520
item618
item191
item133
item486
item619
item562
item605
item182
item725
item798
item688
item481
item556
item828
item807
item788
item979
item287
item964
item491
item509
item240
item95
item484
item6
item699
item170
item178
item9
item152
item223
item309
item793
item855
item102
item443
item961
item947
item92
item56
item136
item927
item304
item779
item604
item701
item226
item612
item992
item563
item787
item682
item627
item680
item128
item307
item813
item337
item398
item904
item632
item662
item802
item962
item526
item316
item44
item441
item679
item199
item524
item622
item543
item109
item996
item599
item606
item557
item854
item593
item188
item871
item360
item65
item694
item676
item897
item833
item954
item810
item773
item966
item28
item343
item761
item203
item270
item841
item212
item835
item998
item733
item446
item516
item762
item901
item345
item181
item45
item197
item72
item298
item64
item243
item168
item693
item139
item442
item644
item942
item392
item409
item222
item884
item314
item831
item99
item186
item244
item700
item686
item611
item740
item896
item180
item340
item455
item466
item608
item923
item575
item615
item651
item101
item179
item249
item910
item426
item382
item872
item573
item162
item232
item641
item827
item370
item730
item852
item534
item652
item988
item805
item161
item8
item485
item909
item635
item949
item610
item250
item569
item341
item253
item929
item614
item639
item10
item955
item113
item792
item292
item205
item404
item926
item417
item713
item62
item886
item919
item797
item631
item4
item765
item301
item544
item291
item14
item138
item419
item462
item173
item141
item669
item683
item31
item754
item946
item295
item559
item60
item129
item672
item248
item459
item435
item939
item643
item383
item37
item408
item106
item596
item284
item434
item3
item753
item388
item719
item873
item739
item296
item670
item703
item163
item77
item678
item154
item385
item665
item377
item277
item176
item144
item566
item231
item116
item536
item421
item403
item351
item689
item874
item801
item597
item17
item571
item436
item795
item963
item649
item151
item530
item356
item860
item624
item108
item30
item122
item130
item986
item391
item748
item40
item23
item945
item908
item480
item784
item315
item431
item187
item732
item46
item539
item114
item247
item877
item206
item439
item741
item994
item570
item300
item917
item834
item472
item394
item405
item94
item800
item503
item789
item650
item997
item406
item24
item759
item918
item763
item533
item468
item819
item921
item88
item717
item85
item374
item731
item127
item667
item856
item883
item630
item706
item609
item317
item514
item47
item155
item900
item190
item858
item438
item110
item589
item386
item971
item588
item697
item278
item376
item489
item572
item861
item778
item396
item710
item175
item893
item507
item473
item148
item192
item755
item967
item271
item698
item892
item894
item325
item39
item59
item666
item477
item655
item454
item541
item528
item584
item751
item201
item237
item829
item218
item357
item410
item79
item656
item331
item930
item135
item738
item348
item848
item866
item658
item259
item532
item384
item744
item715
item818
item482
item233
item950
item742
item885
item501
item140
item814
item881
item712
item912
item464
item525
item777
item469
item346
item948
item547
item13
item322
item418
item657
item104
item25
item350
item224
item973
item958
item695
item156
item54
item842
item372
item616
item868
item764
item780
item428
item696
item414
item75
item256
item328
item389
item865
item617
item457
item809
item395
item776
item412
item924
item86
item977
item33
item228
item198
item746
item902
item745
item200
item903
item960
item150
item601
item305
item654
item134
item847
item252
item638
item768
item236
item840
item989
item538
item387
item185
item193
item974
item80
item353
item213
item274
item943
item876
item843
item467
item216
item19
item956
item613
item257
item522
item202
item633
item299
item367
item57
item36
item68
item336
item246
item289
item722
item916
item465
item264
item313
item96
